Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10032565891742706,0.10076183322733993,0.10032565891742706,0.10032565891742706,469033600,0.0,0.0
1980-12-15,0.09552777798667617,0.09552777798667617,0.09509160369634628,0.09509160369634628,175884800,0.0,0.0
1980-12-16,0.08854823208556069,0.08854823208556069,0.08811206370592117,0.08811206370592117,105728000,0.0,0.0
1980-12-17,0.09029287844896317,0.09072905246504613,0.09029287844896317,0.09029287844896317,86441600,0.0,0.0
1980-12-18,0.09291071444749832,0.09334688274837062,0.09291071444749832,0.09291071444749832,73449600,0.0,0.0
1980-12-19,0.09858093410730362,0.09901710824369424,0.09858093410730362,0.09858093410730362,48630400,0.0,0.0
1980-12-22,0.10337887704372405,0.10381583179530057,0.10337887704372405,0.10337887704372406,37363200,0.0,0.0
1980-12-23,0.1077413335442543,0.10817750776327512,0.1077413335442543,0.1077413335442543,46950400,0.0,0.0
1980-12-24,0.11341159045696259,0.11384776477985753,0.11341159045696259,0.11341159045696259,48003200,0.0,0.0
1980-12-26,0.12388043850660324,0.12431661266678107,0.12388043850660324,0.12388043850660324,55574400,0.0,0.0
1980-12-29,0.1256251037120819,0.12606127780355708,0.1256251037120819,0.1256251037120819,93161600,0.0,0.0
1980-12-30,0.12300810028807287,0.12300810028807287,0.12257193773984909,0.12257193773984909,68880000,0.0,0.0
1980-12-31,0.11951875175941179,0.11951875175941179,0.11908257752656937,0.11908257752656937,35750400,0.0,0.0
1981-01-02,0.12039105594158171,0.12126340417078944,0.12039105594158171,0.12039105594158173,21660800,0.0,0.0
1981-01-05,0.11821021694844928,0.11821021694844928,0.11777405440807343,0.11777405440807343,35728000,0.0,0.0
1981-01-06,0.11297539858173965,0.11297539858173965,0.11253922432661057,0.11253922432661057,45158400,0.0,0.0
1981-01-07,0.10817750776327512,0.10817750776327512,0.1077413335442543,0.1077413335442543,55686400,0.0,0.0
1981-01-08,0.10599664410221651,0.10599664410221651,0.10556048154830933,0.10556048154830933,39827200,0.0,0.0
1981-01-09,0.11123070865869522,0.11166688289598099,0.11123070865869522,0.11123070865869522,21504000,0.0,0.0
1981-01-12,0.11123073919930179,0.11123073919930179,0.11035840213298799,0.11035840213298798,23699200,0.0,0.0
